class,precision,recall,f1,support
cirriform clouds,1.0000,0.9655,0.9825,29
clear sky,1.0000,1.0000,1.0000,24
cumulonimbus clouds,0.9231,1.0000,0.9600,12
cumulus clouds,0.9524,0.9524,0.9524,42
high cumuliform clouds,0.9400,1.0000,0.9691,47
stratiform clouds,1.0000,1.0000,1.0000,18
stratocumulus clouds,0.9565,0.8462,0.8980,26
MACRO_AVG,0.9674,0.9663,0.9660,198
WEIGHTED_F1,0.9642,,,
