timestamp,original_filename,saved_filename,cloud_coverage_pct,oktas,ensemble_class,ensemble_confidence,simple_cnn_pred,simple_cnn_conf,mobilenet_pred,mobilenet_conf,efficientnet_pred,efficientnet_conf,gradcam_files,evidence_files
2026-04-19 12:38:56,Screenshot 2026-04-19 123821.png,cloud_20260419_123856.png,97.9,8,cirriform clouds,79.5,cirriform clouds,56.9,cirriform clouds,90.88,cirriform clouds,90.73,cam_Simple CNN_cloud_20260419_123856.png; cam_MobileNetV2_cloud_20260419_123856.png; cam_EfficientNetB0_cloud_20260419_123856.png,cirriform clouds/a9e267cfa5f8090e4784001cf1801f79.jpg; cirriform clouds/02060d6d09d4b45fccccf01921692d63.jpg; cirriform clouds/b4b0d6694b9f6463ef2e2c2c1ff32f00.jpg
2026-04-19 12:40:28,00fe36db-94aa-4b22-a7cf-9b5333c8de3a.jpg,cloud_20260419_124028.jpg,76.3,6,high cumuliform clouds,76.3,high cumuliform clouds,69.93,cumulonimbus clouds,46.56,high cumuliform clouds,82.66,cam_Simple CNN_cloud_20260419_124028.jpg; cam_MobileNetV2_cloud_20260419_124028.jpg; cam_EfficientNetB0_cloud_20260419_124028.jpg,high cumuliform clouds/b3c3dfebcd9832ea344fc1a45485109f.jpg; high cumuliform clouds/41d337f20500af0b909599eb2f3aa46a.jpg; high cumuliform clouds/50ccb1d7734f13b823370ec7a902bdd1.jpg
